タイトル,タイトルURL,cz_displayspnone2,cz_sp_table_URL,cz_sp_table3,エリア
金沢朝霧台店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76463&pgret=2,石川県金沢市朝霧台二丁目１４番地,tel:076-263-2623,24時間,石川県金沢市朝霧台
金沢みどり店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76466&pgret=2,石川県金沢市みどり一丁目２５５番地１,tel:076-240-3639,24時間,石川県金沢市みどり
金沢無量寺店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76468&pgret=2,石川県金沢市無量寺五丁目６９番地１号,tel:076-267-1160,24時間,石川県金沢市無量寺
金沢山科一丁目店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76498&pgret=2,石川県金沢市山科一丁目６番５７号,tel:076-242-0505,24時間,石川県金沢市山科一
金沢堀川店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76507&pgret=2,石川県金沢市堀川町９７６番５,tel:076-224-3462,24時間,石川県金沢市堀川町
金沢高柳店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76515&pgret=2,石川県金沢市高柳町二字１０番１,tel:076-253-8299,24時間,石川県金沢市高柳町
金沢増泉中央店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76586&pgret=2,石川県金沢市増泉一丁目１９番３２号,tel:076-242-2453,24時間,石川県金沢市増泉一
金沢片町二丁目店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76594&pgret=2,石川県金沢市片町２丁目１番６号,tel:076-210-4677,24時間,石川県金沢市片町２
金沢増泉店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76595&pgret=2,石川県金沢市増泉一丁目１８番１４号,tel:076-201-6711,24時間,石川県金沢市増泉一
金沢泉野店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76598&pgret=2,石川県金沢市泉野町５－６－１４,tel:076-244-6158,24時間,石川県金沢市泉野町
金沢新保本店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76603&pgret=2,石川県金沢市新保本５丁目１１３番地,tel:076-240-6328,24時間,石川県金沢市新保本
金沢示野店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76604&pgret=2,石川県金沢市示野町南７１番地,tel:076-208-5778,24時間,石川県金沢市示野町
金沢片町店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76637&pgret=2,石川県金沢市片町二丁目２番１５号北國ビルディング１Ｆ,tel:076-210-6399,24時間,石川県金沢市片町二
金沢小坂町店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76633&pgret=2,石川県金沢市小坂町北１６５番地２,tel:076-252-0260,24時間,石川県金沢市小坂町
金沢木曳野店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76651&pgret=2,石川県金沢市木曳野３丁目２３番地,tel:076-266-5020,24時間,石川県金沢市木曳野
金沢大学前店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76653&pgret=2,石川県金沢市若松町ミ３番地１（金沢大学角間キャンパス内）,tel:076-210-4112,24時間,石川県金沢市若松町
金沢本町二丁目店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76654&pgret=2,石川県金沢市本町２丁目１１番７号金沢フコク生命駅前ビル１階,tel:076-210-4844,24時間,石川県金沢市本町２
石川県庁前店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76655&pgret=2,石川県金沢市西都一丁目５９番,tel:076-268-4883,24時間,石川県金沢市西都一
金沢大学北キャンパス店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76660&pgret=2,石川県金沢市角間町ヌ７番地,tel:076-213-5167,8:00-20:00　休業日：日曜祝日,石川県金沢市角間町
金沢大学南キャンパス／Ｓ店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=69819&pgret=2,石川県金沢市角間町ヌ７番地,tel:076-254-6807,8:00-20:00　休業日：日曜祝日,石川県金沢市角間町
石川県庁／Ｓ店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=69857&pgret=2,石川県金沢市鞍月１丁目１番地石川県庁舎２階,tel:076-208-4975,7:00-20:00　休業日：土日祝日,石川県金沢市鞍月１
金沢大河端町店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30213&pgret=2,石川県金沢市大河端西二丁目７４番地,tel:076-208-2276,24時間,石川県金沢市大河端
金沢松島南店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30223&pgret=2,石川県金沢市新保本四丁目６５番地７,tel:076-214-1044,24時間,石川県金沢市新保本
薬コメヤ金沢武蔵店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76380&pgret=2,石川県金沢市下堤町３５番地１,tel:076-221-9910,6:00-24:00,石川県金沢市下堤町
金沢問屋町二丁目店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30301&pgret=2,石川県金沢市問屋町二丁目１５番２,tel:076-237-7324,24時間,石川県金沢市問屋町
金沢菊川店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30275&pgret=2,石川県金沢市本多町一丁目１８番３号,tel:076-210-3955,24時間,石川県金沢市本多町
金沢乙丸町店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30285&pgret=2,石川県金沢市神宮寺３丁目１１番１５号,tel:076-252-1077,24時間,石川県金沢市神宮寺
金沢二万堂店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30154&pgret=2,石川県金沢市西泉一丁目１番地２,tel:076-201-4344,24時間,石川県金沢市西泉一
金沢粟崎店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30155&pgret=2,石川県金沢市粟崎町三丁目２９７番地１,tel:076-239-9044,24時間,石川県金沢市粟崎町
金沢疋田店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30134&pgret=2,石川県金沢市疋田二丁目１２３番地,tel:076-258-2070,24時間,石川県金沢市疋田二
金沢稚日野店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30161&pgret=2,石川県金沢市稚日野町北１９番地１,tel:076-266-5044,24時間,石川県金沢市稚日野
金沢高畠一丁目店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30189&pgret=2,石川県金沢市高畠一丁目３２３番地,tel:076-292-4003,24時間,石川県金沢市高畠一
金沢西念三丁目店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30231&pgret=2,石川県金沢市西念３丁目３２－１６,tel:076-224-2407,24時間,石川県金沢市西念３
石川屋金沢笠舞店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30233&pgret=2,石川県金沢市笠舞本町２－２－８,tel:076-224-4660,24時間,石川県金沢市笠舞本
金沢寺町店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30177&pgret=2,石川県金沢市寺町一丁目２番１８号,tel:076-241-2406,24時間,石川県金沢市寺町一
金沢泉本町店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30250&pgret=2,石川県金沢市泉本町５丁目３番地,tel:076-201-3594,24時間,石川県金沢市泉本町
金沢二口店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30375&pgret=2,石川県金沢市二口町イ１０１番地,tel:076-224-2413,24時間,石川県金沢市二口町
金沢中央市場店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30106&pgret=2,石川県金沢市西念四丁目２２番１２号,tel:076-210-4716,24時間,石川県金沢市西念四
金沢涌波三丁目店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30207&pgret=2,石川県金沢市涌波三丁目１番１６号,tel:076-210-5906,24時間,石川県金沢市涌波三
金沢入江一丁目店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76426&pgret=2,石川県金沢市入江１丁目１４８,tel:076-292-6033,24時間,石川県金沢市入江１
金沢旭町三丁目店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76435&pgret=2,石川県金沢市旭町３丁目３番１１号,tel:076-223-2050,24時間,石川県金沢市旭町３
金沢松村三丁目店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76519&pgret=2,石川県金沢市松村三丁目４４８番地,tel:076-266-5070,24時間,石川県金沢市松村三
金沢安原店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76539&pgret=2,石川県金沢市中屋２丁目８３番地,tel:076-269-1007,24時間,石川県金沢市中屋２
金沢額新保／Ｇ店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76554&pgret=2,石川県金沢市額新保２丁目２８４,tel:076-298-8402,7:00-23:00,石川県金沢市額新保
金沢諸江町店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76556&pgret=2,石川県金沢市諸江町下丁４６番１,tel:076-238-2055,24時間,石川県金沢市諸江町
金沢岸川町店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76546&pgret=2,石川県金沢市岸川町り６３番１,tel:076-257-8071,24時間,石川県金沢市岸川町
金沢福久店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76559&pgret=2,石川県金沢市福久町ホ６１番地１,tel:076-257-9433,24時間,石川県金沢市福久町
金沢駅西口店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76561&pgret=2,石川県金沢市北安江一丁目２番１５号,tel:076-210-5244,24時間,石川県金沢市北安江
白山インター店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76568&pgret=2,石川県金沢市中屋南８４番地,tel:076-249-3418,24時間,石川県金沢市中屋南
金沢御影店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76593&pgret=2,石川県金沢市御影町７番１５号,tel:076-241-4046,24時間,石川県金沢市御影町
金沢伏見新町／Ｇ店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76592&pgret=2,石川県金沢市伏見新町３３７番,tel:076-201-3160,7:00-23:00,石川県金沢市伏見新
